iter	Passed	Remaining
1215	188137	585452
1216	188293	585303
1217	188452	585163
1218	188611	585019
1219	188766	584865
1220	188919	584707
1221	189080	584572
1222	189233	584409
1223	189390	584264
1224	189543	584104
1225	189696	583942
1226	189853	583795
1227	190009	583645
1228	190175	583526
1229	190326	583358
1230	190485	583215
1231	190641	583064
1232	190795	582909
1233	190950	582755
1234	191111	582618
1235	191273	582487
1236	191426	582327
1237	191577	582160
1238	191734	582012
1239	191900	581891
1240	192059	581750
1241	192212	581588
1242	192378	581469
1243	192536	581323
1244	192689	581164
1245	192844	581009
1246	193000	580860
1247	193159	580716
1248	193318	580573
1249	193479	580438
1250	193637	580294
1251	193790	580133
1252	193941	579967
1253	194095	579809
1254	194252	579661
1255	194408	579511
1256	194564	579359
1257	194719	579204
1258	194870	579038
1259	195023	578878
1260	195182	578737
1261	195341	578595
1262	195496	578441
1263	195652	578288
1264	195818	578166
1265	195989	578062
1266	196144	577905
1267	196307	577775
1268	196489	577699
1269	196652	577568
1270	196808	577417
1271	196958	577249
1272	197110	577087
1273	197269	576944
1274	197427	576798
1275	197583	576646
1276	197753	576536
1277	197908	576381
1278	198076	576263
1279	198231	576110
1280	198389	575964
1281	198546	575816
1282	198702	575663
1283	198860	575517
1284	199015	575363
1285	199182	575243
1286	199336	575085
1287	199488	574923
1288	199648	574781
1289	199804	574632
1290	199973	574517
1291	200141	574399
1292	200314	574295
1293	200468	574139
1294	200620	573977
1295	200776	573823
1296	200931	573669
1297	201087	573518
1298	201245	573370
1299	201413	573253
1300	201565	573091
1301	201716	572925
1302	201876	572782
1303	202035	572639
1304	202191	572489
1305	202350	572346
1306	202513	572211
1307	202667	572056
1308	202822	571900
1309	202978	571748
1310	203137	571604
1311	203295	571459
1312	203456	571321
1313	203620	571190
1314	203777	571041
1315	203937	570900
1316	204104	570780
1317	204260	570627
1318	204418	570481
1319	204575	570332
1320	204739	570202
1321	204901	570065
1322	205053	569903
1323	205212	569758
1324	205368	569607
1325	205524	569455
1326	205683	569309
1327	205839	569159
1328	205998	569015
1329	206152	568856
1330	206306	568698
1331	206460	568541
1332	206616	568388
1333	206772	568236
1334	206925	568075
1335	207077	567913
1336	207231	567754
1337	207386	567600
1338	207540	567443
1339	207696	567289
1340	207848	567126
1341	208009	566987
1342	208188	566899
1343	208341	566738
1344	208498	566588
1345	208653	566434
1346	208811	566287
1347	208968	566137
1348	209123	565982
